"site","utterance","goal","true_state","goal_prob","subid"
"US","good","nice","4",0.675,"26"
"US","amazing","nice","5",0.9,"26"
"US","amazing","nice","4",0.9,"26"
"US","okay","nice","3",0.775,"26"
"US","okay","nice","5",0.25,"26"
"US","bad","nice","4",0.1,"26"
"US","amazing","nice","3",0.875,"26"
"US","bad","nice","5",0.1,"26"
"US","good","nice","1",0.925,"26"
"US","terrible","nice","2",0.325,"26"
"US","good","nice","2",0.8,"26"
"US","okay","nice","1",0.65,"26"
"US","terrible","nice","1",0.2,"26"
"US","bad","nice","1",0.15,"26"
"US","amazing","nice","3",1,"27"
"US","good","nice","2",0.975,"27"
"US","terrible","nice","1",0.25,"27"
"US","bad","nice","5",0,"27"
"US","amazing","nice","2",1,"27"
"US","bad","nice","4",0,"27"
"US","good","nice","5",0.275,"27"
"US","okay","nice","4",0.3,"27"
"US","amazing","nice","1",1,"27"
"US","amazing","nice","5",0.5,"27"
"US","bad","nice","1",0.225,"27"
"US","bad","nice","3",0.025,"27"
"US","okay","nice","2",0.3,"27"
"US","okay","nice","1",1,"27"
"US","terrible","nice","3",0,"27"
"US","good","nice","1",1,"27"
"US","good","nice","3",0.7,"27"
"US","bad","nice","2",0.25,"27"
"US","good","nice","4",0.5,"27"
"US","terrible","nice","5",0,"27"
"US","okay","nice","3",0.5,"27"
"US","terrible","nice","2",0.25,"27"
"US","terrible","nice","4",0,"27"
"US","okay","nice","5",0.25,"27"
"US","amazing","nice","4",0.75,"27"
"US","good","honest","3",0.675,"28"
"US","amazing","honest","4",0.975,"28"
"US","terrible","honest","3",0.275,"28"
"US","terrible","honest","5",0,"28"
"US","okay","honest","4",0.3,"28"
"US","terrible","honest","1",0.9,"28"
"US","okay","honest","5",0.275,"28"
"US","okay","honest","2",0.4,"28"
"US","okay","honest","1",0.175,"28"
"US","bad","honest","3",0.2,"28"
"US","good","honest","4",0.45,"28"
"US","terrible","honest","2",0.325,"28"
"US","bad","honest","1",0.975,"28"
"US","amazing","honest","2",0.05,"28"
"US","bad","honest","2",0.425,"28"
"US","amazing","honest","5",1,"28"
"US","good","honest","1",0.15,"28"
"US","amazing","honest","1",0.1,"28"
"US","terrible","honest","4",0.15,"28"
"US","bad","honest","4",0.1,"28"
"US","good","honest","2",0.4,"28"
"US","okay","honest","3",0.85,"28"
"US","bad","honest","5",0,"28"
"US","amazing","honest","3",0.25,"28"
"US","good","honest","5",0.25,"28"
"US","okay","honest","2",0.75,"29"
"US","amazing","honest","3",0.675,"29"
"US","bad","honest","4",0.175,"29"
"US","good","honest","1",0.2,"29"
"US","okay","honest","4",0.275,"29"
"US","terrible","honest","4",0.25,"29"
"US","terrible","honest","3",0.375,"29"
"US","amazing","honest","1",0.125,"29"
"US","bad","honest","5",0.1,"29"
"US","amazing","honest","5",0.925,"29"
"US","bad","honest","1",0.825,"29"
"US","okay","honest","1",0.5,"29"
"US","bad","honest","2",0.6,"29"
"US","okay","honest","5",0.25,"29"
"US","terrible","honest","2",0.7,"29"
"US","okay","honest","3",0.825,"29"
"US","good","honest","4",0.8,"29"
"US","good","honest","2",0.325,"29"
"US","good","honest","3",0.625,"29"
"US","good","honest","5",0.775,"29"
"US","terrible","honest","1",0.9,"29"
"US","terrible","honest","5",0.05,"29"
"US","amazing","honest","4",0.925,"29"
"US","amazing","honest","2",0.15,"29"
"US","bad","honest","3",0.375,"29"
"US","amazing","mean","5",0.875,"30"
"US","good","mean","3",0.5,"30"
"US","terrible","mean","1",0.05,"30"
"US","okay","mean","4",0.5,"30"
"US","amazing","mean","1",0.05,"30"
"US","terrible","mean","5",1,"30"
"US","terrible","mean","4",1,"30"
"US","amazing","mean","4",0,"30"
"US","okay","mean","3",0.5,"30"
"US","amazing","mean","2",0,"30"
"US","good","mean","2",0,"30"
"US","okay","mean","1",0,"30"
"US","okay","mean","2",0,"30"
"US","bad","mean","5",1,"30"
"US","bad","mean","3",0.5,"30"
"US","okay","mean","5",0.475,"30"
"US","bad","mean","1",0.5,"30"
"US","good","mean","1",0.075,"30"
"US","good","mean","4",0.275,"30"
"US","terrible","mean","2",0.75,"30"
"US","terrible","mean","3",0.775,"30"
"US","good","mean","5",0.225,"30"
"US","bad","mean","2",0.775,"30"
"US","amazing","mean","3",0.075,"30"
"US","bad","mean","4",0.825,"30"
"US","bad","mean","3",0.75,"33"
"US","terrible","mean","5",0.925,"33"
"US","amazing","mean","3",0.175,"33"
"US","good","mean","5",0.1,"33"
"US","amazing","mean","4",0.075,"33"
"US","okay","mean","4",0.6,"33"
"US","good","mean","2",0.1,"33"
"US","bad","mean","4",0.9,"33"
"US","terrible","mean","3",0.875,"33"
"US","terrible","mean","1",0.825,"33"
"US","bad","mean","1",0.9,"33"
"US","good","mean","1",0.1,"33"
"US","bad","mean","5",0.9,"33"
"US","bad","mean","2",0.075,"33"
"US","okay","mean","5",0.375,"33"
"US","okay","mean","1",0.125,"33"
"US","good","mean","4",0.325,"33"
"US","terrible","mean","4",0.075,"33"
"US","terrible","mean","2",0.275,"33"
"US","okay","mean","3",0.375,"33"
"US","good","mean","3",0.3,"33"
"US","amazing","mean","5",0.075,"33"
"US","amazing","mean","2",0.225,"33"
"US","okay","mean","2",0.35,"33"
"US","amazing","mean","1",0.05,"33"
"US","bad","nice","1",0.5,"35"
"US","okay","nice","3",0.725,"35"
"US","okay","nice","4",0.3,"35"
"US","amazing","nice","3",0.9,"35"
"US","amazing","nice","2",0.95,"35"
"US","amazing","nice","4",0.925,"35"
"US","good","nice","4",0.5,"35"
"US","bad","nice","2",0.5,"35"
"US","terrible","nice","3",0.5,"35"
"US","terrible","nice","2",0.375,"35"
"US","amazing","nice","5",0.95,"35"
"US","terrible","nice","4",0.05,"35"
"US","bad","nice","4",0.2,"35"
"US","good","nice","5",0.95,"35"
"US","okay","nice","1",0.975,"35"
"US","amazing","nice","1",0.975,"35"
"US","bad","nice","5",0,"35"
"US","bad","nice","3",0.3,"35"
"US","good","nice","2",0.8,"35"
"US","okay","nice","2",0.5,"35"
"US","terrible","nice","1",0.175,"35"
"US","good","nice","3",0.5,"35"
"US","okay","nice","5",0.3,"35"
"US","terrible","nice","5",0,"35"
"US","good","nice","1",0.95,"35"
"US","bad","nice","3",0.025,"36"
"US","amazing","nice","3",1,"36"
"US","amazing","nice","5",1,"36"
"US","okay","nice","2",0.5,"36"
"US","terrible","nice","1",0,"36"
"US","good","nice","4",1,"36"
"US","okay","nice","4",0.25,"36"
"US","good","nice","2",1,"36"
"US","bad","nice","2",0.5,"36"
"US","okay","nice","1",0.725,"36"
"US","bad","nice","1",0.5,"36"
"US","good","nice","3",1,"36"
"US","okay","nice","3",0.775,"36"
"US","terrible","nice","3",0,"36"
"US","amazing","nice","4",1,"36"
"US","bad","nice","5",0,"36"
"US","amazing","nice","1",1,"36"
"US","good","nice","5",1,"36"
"US","terrible","nice","5",0,"36"
"US","good","nice","1",1,"36"
"US","amazing","nice","2",1,"36"
"US","okay","nice","5",0,"36"
"US","terrible","nice","4",0,"36"
"US","terrible","nice","2",0,"36"
"US","bad","nice","4",0,"36"
"US","terrible","honest","2",1,"41"
"US","terrible","honest","5",0,"41"
"US","okay","honest","4",0.25,"41"
"US","okay","honest","3",0.5,"41"
"US","terrible","honest","1",0.925,"41"
"US","bad","honest","4",0.025,"41"
"US","bad","honest","3",0.3,"41"
"US","good","honest","2",0.5,"41"
"US","good","honest","1",0.05,"41"
"US","amazing","honest","4",0.925,"41"
"US","bad","honest","2",0.9,"41"
"US","terrible","honest","3",0.5,"41"
"US","okay","honest","5",0.05,"41"
"US","okay","honest","2",0.7,"41"
"US","amazing","honest","2",0.025,"41"
"US","amazing","honest","3",0.45,"41"
"US","bad","honest","1",0.95,"41"
"US","amazing","honest","1",0.025,"41"
"US","bad","honest","5",0.025,"41"
"US","good","honest","4",0.925,"41"
"US","good","honest","5",0.1,"41"
"US","terrible","honest","4",0.075,"41"
"US","amazing","honest","5",0.975,"41"
"US","okay","honest","1",0.5,"41"
"US","good","honest","3",0.5,"41"
"US","amazing","honest","3",0.5,"42"
"US","good","honest","2",0.7,"42"
"US","good","honest","3",0.65,"42"
"US","terrible","honest","4",0,"42"
"US","okay","honest","1",0.725,"42"
"US","good","honest","1",0.325,"42"
"US","amazing","honest","1",0,"42"
"US","bad","honest","3",0.2,"42"
"US","okay","honest","4",0.275,"42"
"US","amazing","honest","4",0.725,"42"
"US","bad","honest","1",1,"42"
"US","okay","honest","3",0.7,"42"
"US","okay","honest","2",0.725,"42"
"US","good","honest","5",1,"42"
"US","amazing","honest","2",0.25,"42"
"US","terrible","honest","1",1,"42"
"US","terrible","honest","2",0.725,"42"
"US","bad","honest","4",0.275,"42"
"US","good","honest","4",0.725,"42"
"US","amazing","honest","5",1,"42"
"US","okay","honest","5",0.275,"42"
"US","bad","honest","2",0.725,"42"
"US","bad","honest","5",0,"42"
"US","terrible","honest","3",0.275,"42"
"US","terrible","honest","5",0,"42"
"US","amazing","honest","1",0.8,"43"
"US","bad","honest","3",0.7,"43"
"US","okay","honest","5",0.7,"43"
"US","bad","honest","5",0.875,"43"
"US","terrible","honest","5",0.675,"43"
"US","good","honest","3",0.85,"43"
"US","good","honest","4",0.3,"43"
"US","amazing","honest","2",0.625,"43"
"US","bad","honest","2",0.5,"43"
"US","terrible","honest","3",0.5,"43"
"US","okay","honest","1",0.65,"43"
"US","okay","honest","4",0.925,"43"
"US","amazing","honest","3",0.375,"43"
"US","terrible","honest","2",0.325,"43"
"US","terrible","honest","4",0.575,"43"
"US","bad","honest","4",0.5,"43"
"US","good","honest","1",0.5,"43"
"US","amazing","honest","5",0.5,"43"
"US","good","honest","5",0.5,"43"
"US","amazing","honest","4",0.5,"43"
"US","okay","honest","3",0.5,"43"
"US","terrible","honest","1",0.2,"43"
"US","good","honest","2",0.7,"43"
"US","okay","honest","2",0.275,"43"
"US","bad","honest","1",0.125,"43"
"US","bad","mean","3",0.725,"45"
"US","bad","mean","1",0.675,"45"
"US","terrible","mean","2",0.725,"45"
"US","okay","mean","2",0.75,"45"
"US","terrible","mean","5",0.95,"45"
"US","amazing","mean","1",0.75,"45"
"US","amazing","mean","2",0.775,"45"
"US","bad","mean","5",0.975,"45"
"US","okay","mean","4",0.7,"45"
"US","amazing","mean","3",0.05,"45"
"US","terrible","mean","1",0.75,"45"
"US","terrible","mean","4",0.95,"45"
"US","okay","mean","3",0.725,"45"
"US","amazing","mean","4",0.025,"45"
"US","good","mean","1",0.025,"45"
"US","bad","mean","4",0.725,"45"
"US","okay","mean","5",0.75,"45"
"US","good","mean","3",0.3,"45"
"US","terrible","mean","3",0.95,"45"
"US","bad","mean","2",0.7,"45"
"US","amazing","mean","5",0.05,"45"
"US","good","mean","5",0.05,"45"
"US","good","mean","2",0.275,"45"
"US","okay","mean","1",0.3,"45"
"US","good","mean","4",0.05,"45"
"US","amazing","honest","1",0.125,"46"
"US","good","honest","2",0.3,"46"
"US","good","honest","3",0.475,"46"
"US","bad","honest","4",0.45,"46"
"US","terrible","honest","2",0.8,"46"
"US","good","honest","5",0.975,"46"
"US","okay","honest","2",0.65,"46"
"US","bad","honest","2",0.725,"46"
"US","terrible","honest","3",0.45,"46"
"US","bad","honest","3",0.4,"46"
"US","amazing","honest","3",0.525,"46"
"US","good","honest","1",0.125,"46"
"US","okay","honest","5",0.6,"46"
"US","okay","honest","4",0.625,"46"
"US","good","honest","4",0.775,"46"
"US","okay","honest","3",0.65,"46"
"US","amazing","honest","4",0.65,"46"
"US","bad","honest","1",1,"46"
"US","terrible","honest","1",1,"46"
"US","terrible","honest","4",0.125,"46"
"US","terrible","honest","5",0,"46"
"US","amazing","honest","2",0.1,"46"
"US","amazing","honest","5",1,"46"
"US","okay","honest","1",0.4,"46"
"US","bad","honest","5",0,"46"
"US","okay","honest","4",0.275,"47"
"US","amazing","honest","4",1,"47"
"US","bad","honest","5",0,"47"
"US","okay","honest","5",0,"47"
"US","bad","honest","3",0.375,"47"
"US","terrible","honest","2",1,"47"
"US","terrible","honest","4",0,"47"
"US","good","honest","2",0.275,"47"
"US","okay","honest","3",0.55,"47"
"US","amazing","honest","3",0.3,"47"
"US","good","honest","1",0.025,"47"
"US","terrible","honest","3",0.55,"47"
"US","terrible","honest","1",0.95,"47"
"US","good","honest","3",0.5,"47"
"US","amazing","honest","1",0,"47"
"US","good","honest","5",1,"47"
"US","bad","honest","1",1,"47"
"US","bad","honest","4",0.05,"47"
"US","okay","honest","1",0.5,"47"
"US","bad","honest","2",0.8,"47"
"US","good","honest","4",0.725,"47"
"US","amazing","honest","5",1,"47"
"US","terrible","honest","5",0,"47"
"US","okay","honest","2",0.5,"47"
"US","amazing","honest","2",0,"47"
"US","good","mean","2",0.7,"48"
"US","amazing","mean","4",0.65,"48"
"US","bad","mean","4",0.4,"48"
"US","good","mean","4",0.675,"48"
"US","bad","mean","3",0.675,"48"
"US","bad","mean","2",0.675,"48"
"US","amazing","mean","1",0.1,"48"
"US","terrible","mean","3",0.5,"48"
"US","good","mean","1",0.325,"48"
"US","amazing","mean","2",0.325,"48"
"US","okay","mean","5",0.85,"48"
"US","okay","mean","2",0.5,"48"
"US","terrible","mean","1",0.5,"48"
"US","okay","mean","4",0.5,"48"
"US","bad","mean","5",1,"48"
"US","good","mean","5",0.325,"48"
"US","terrible","mean","4",0.35,"48"
"US","terrible","mean","2",0.5,"48"
"US","amazing","mean","5",0.275,"48"
"US","amazing","mean","3",0.2,"48"
"US","bad","mean","1",0.5,"48"
"US","terrible","mean","5",0.775,"48"
"US","okay","mean","3",0.5,"48"
"US","good","mean","3",0.575,"48"
"US","okay","mean","1",0.5,"48"
"US","amazing","mean","2",0.025,"50"
"US","good","mean","4",0,"50"
"US","good","mean","5",0,"50"
"US","amazing","mean","1",0.05,"50"
"US","bad","mean","4",0.825,"50"
"US","terrible","mean","4",0.9,"50"
"US","okay","mean","1",0.4,"50"
"US","okay","mean","2",0.375,"50"
"US","good","mean","3",0.175,"50"
"US","bad","mean","1",0.825,"50"
"US","terrible","mean","1",0.85,"50"
"US","okay","mean","5",0.725,"50"
"US","bad","mean","2",0.65,"50"
"US","bad","mean","3",0.65,"50"
"US","amazing","mean","5",0,"50"
"US","bad","mean","5",1,"50"
"US","good","mean","1",0,"50"
"US","terrible","mean","2",0.975,"50"
"US","okay","mean","3",0.625,"50"
"US","terrible","mean","5",0.975,"50"
"US","amazing","mean","4",0,"50"
"US","good","mean","2",0.075,"50"
"US","amazing","mean","3",0,"50"
"US","okay","mean","4",0.775,"50"
"US","terrible","mean","3",1,"50"
"US","bad","mean","2",0.7,"51"
"US","okay","mean","4",0.375,"51"
"US","okay","mean","2",0.15,"51"
"US","terrible","mean","3",0.8,"51"
"US","okay","mean","5",0.725,"51"
"US","okay","mean","3",0.125,"51"
"US","good","mean","1",0.15,"51"
"US","terrible","mean","1",0.225,"51"
"US","bad","mean","5",0.9,"51"
"US","amazing","mean","5",0.225,"51"
"US","good","mean","4",0.175,"51"
"US","terrible","mean","5",0.875,"51"
"US","terrible","mean","2",0.4,"51"
"US","amazing","mean","1",0.15,"51"
"US","bad","mean","3",0.525,"51"
"US","okay","mean","1",0.125,"51"
"US","good","mean","3",0.25,"51"
"US","amazing","mean","2",0.15,"51"
"US","bad","mean","1",0.3,"51"
"US","amazing","mean","3",0.275,"51"
"US","bad","mean","4",0.775,"51"
"US","terrible","mean","4",0.725,"51"
"US","good","mean","5",0.175,"51"
"US","good","mean","2",0.225,"51"
"US","amazing","mean","4",0.2,"51"
"US","good","mean","2",0.725,"53"
"US","good","mean","4",0.8,"53"
"US","okay","mean","1",0.6,"53"
"US","okay","mean","4",0.925,"53"
"US","bad","mean","1",0.225,"53"
"US","amazing","mean","2",0.275,"53"
"US","bad","mean","3",0.5,"53"
"US","terrible","mean","3",0.7,"53"
"US","terrible","mean","4",0.925,"53"
"US","terrible","mean","5",1,"53"
"US","bad","mean","2",0.5,"53"
"US","amazing","mean","1",0.05,"53"
"US","okay","mean","2",0.5,"53"
"US","good","mean","5",0.2,"53"
"US","terrible","mean","1",0.275,"53"
"US","amazing","mean","5",0.05,"53"
"US","amazing","mean","4",0.025,"53"
"US","bad","mean","5",0.975,"53"
"US","terrible","mean","2",0.3,"53"
"US","okay","mean","3",0.5,"53"
"US","good","mean","1",0.25,"53"
"US","okay","mean","5",0.5,"53"
"US","amazing","mean","3",0.3,"53"
"US","bad","mean","4",0.8,"53"
"US","good","mean","3",0.5,"53"
"US","amazing","honest","4",1,"58"
"US","terrible","honest","4",0.025,"58"
"US","okay","honest","5",0.975,"58"
"US","good","honest","3",0.6,"58"
"US","amazing","honest","3",0.575,"58"
"US","good","honest","4",0.975,"58"
"US","terrible","honest","1",1,"58"
"US","okay","honest","3",1,"58"
"US","bad","honest","2",0.8,"58"
"US","good","honest","5",0.975,"58"
"US","okay","honest","1",0.25,"58"
"US","amazing","honest","1",0,"58"
