"subid","goal","true_state","positivity","utterance","goal_prob"
"anon-15","informative","1","negative","bad",0.025
"anon-15","informative","4","negative","amazing",0.1
"anon-15","informative","2","positive","amazing",0.05
"anon-15","informative","2","negative","okay",0.875
"anon-15","informative","4","positive","terrible",0.05
"anon-15","informative","3","negative","good",0.45
"anon-15","informative","5","positive","okay",0.025
"anon-16","informative","5","negative","terrible",0.825
"anon-16","informative","2","negative","terrible",0.725
"anon-16","informative","2","negative","bad",0.775
"anon-16","informative","5","positive","good",0.975
"anon-16","informative","4","negative","okay",0.05
"anon-16","informative","3","positive","amazing",0.975
"anon-16","informative","1","positive","okay",0.725
"anon-16","informative","3","positive","bad",0.05
"anon-16","informative","3","positive","terrible",0.9
"anon-16","informative","1","positive","good",0.825
"anon-16","informative","4","positive","terrible",0.025
"anon-16","informative","4","negative","amazing",0.025
"anon-16","informative","1","negative","bad",0.775
"anon-16","informative","2","positive","good",0.95
"anon-16","informative","5","negative","amazing",0.05
"anon-16","informative","4","positive","bad",0
"anon-16","informative","1","negative","terrible",0.675
"anon-16","informative","4","negative","good",0
"anon-16","informative","2","negative","okay",0.025
"anon-16","informative","1","negative","amazing",0.025
"anon-16","informative","3","negative","good",0.025
"anon-16","informative","2","positive","amazing",0.975
"anon-16","informative","5","positive","bad",0.025
"anon-16","informative","5","positive","okay",0.8
"anon-16","informative","3","negative","okay",0.05
"anon-17","informative","5","negative","terrible",0
"anon-17","informative","3","negative","good",0.325
"anon-17","informative","1","negative","bad",0.2
"anon-17","informative","2","negative","okay",0.15
"anon-17","informative","3","positive","bad",0.15
"anon-17","informative","4","positive","bad",0
"anon-17","informative","2","positive","amazing",0.05
"anon-17","informative","5","negative","amazing",0.1
"anon-17","informative","5","positive","okay",0.05
"anon-17","informative","2","positive","good",0.25
"anon-17","informative","1","negative","amazing",0.325
"anon-17","informative","2","negative","terrible",0.875
"anon-17","informative","3","positive","amazing",0.325
"anon-17","informative","4","negative","amazing",0.9
"anon-17","informative","5","positive","good",0.2
"anon-17","informative","1","positive","okay",0.7
"anon-17","informative","1","positive","good",0.2
"anon-17","informative","5","positive","bad",0
"anon-17","informative","3","negative","okay",0.35
"anon-17","informative","4","positive","terrible",0.075
"anon-17","informative","1","negative","terrible",0.5
"anon-17","informative","3","positive","terrible",0.3
"anon-17","informative","4","negative","good",0.4
"anon-17","informative","4","negative","okay",0.05
"anon-17","informative","2","negative","bad",0.35
"anon-18","social","3","negative","bad",0.775
"anon-18","social","4","negative","terrible",0.225
"anon-18","social","4","positive","okay",0.85
"anon-18","social","5","negative","okay",0.025
"anon-18","social","1","positive","bad",0.025
"anon-18","social","5","positive","terrible",0
"anon-18","social","3","positive","good",0.875
"anon-18","social","3","positive","okay",0.9
"anon-18","social","5","negative","bad",0.825
"anon-18","social","2","negative","good",0
"anon-18","social","1","positive","amazing",0.95
"anon-18","social","2","positive","okay",0.925
"anon-18","social","1","negative","okay",0.025
"anon-18","social","2","positive","terrible",0.025
"anon-18","social","3","negative","amazing",0.025
"anon-18","social","5","positive","amazing",0.975
"anon-18","social","2","negative","amazing",0.025
"anon-18","social","5","negative","good",0.025
"anon-18","social","1","positive","terrible",0.025
"anon-18","social","1","negative","good",0.025
"anon-18","social","2","positive","bad",0.025
"anon-18","social","3","negative","terrible",0.825
"anon-18","social","4","positive","amazing",0.975
"anon-18","social","4","positive","good",0.95
"anon-18","social","4","negative","bad",0.75
"anon-19","informative","5","negative","amazing",0.275
"anon-19","informative","4","negative","amazing",0.7
"anon-19","informative","4","positive","terrible",0.575
"anon-19","informative","5","positive","good",0.925
"anon-19","informative","3","positive","amazing",0.375
"anon-19","informative","1","positive","okay",0.125
"anon-19","informative","1","negative","terrible",0.05
"anon-19","informative","2","positive","good",0.25
"anon-19","informative","4","negative","good",0.775
"anon-19","informative","2","negative","bad",0.375
"anon-19","informative","1","negative","bad",0.05
"anon-19","informative","4","negative","okay",0.65
"anon-19","informative","1","negative","amazing",0.1
"anon-19","informative","4","positive","bad",0.575
"anon-19","informative","3","positive","terrible",0.35
"anon-19","informative","2","positive","amazing",0.35
"anon-19","informative","3","negative","okay",0.575
"anon-19","informative","3","positive","bad",0.45
"anon-19","informative","3","negative","good",0.425
"anon-19","informative","5","positive","bad",0.625
"anon-19","informative","1","positive","good",0.125
"anon-19","informative","5","negative","terrible",0.725
"anon-19","informative","2","negative","okay",0.275
"anon-19","informative","5","positive","okay",0.775
"anon-19","informative","2","negative","terrible",0.25
"anon-2","informative","2","negative","bad",1
"anon-2","informative","5","negative","terrible",1
"anon-2","informative","2","positive","amazing",0
"anon-2","informative","4","negative","okay",0
"anon-2","informative","5","positive","bad",0
"anon-2","informative","1","negative","amazing",1
"anon-2","informative","2","negative","terrible",0.875
"anon-2","informative","3","negative","okay",0.375
"anon-2","informative","4","positive","bad",0
"anon-2","informative","2","positive","good",0
"anon-2","informative","1","positive","good",0
"anon-2","informative","5","negative","amazing",0
"anon-2","informative","1","negative","bad",0.1
"anon-2","informative","1","positive","okay",0.725
"anon-2","informative","3","positive","terrible",0.725
"anon-2","informative","4","negative","amazing",0.175
"anon-2","informative","3","negative","good",0.85
"anon-2","informative","4","negative","good",0
"anon-2","informative","3","positive","amazing",0.025
"anon-2","informative","2","negative","okay",1
"anon-2","informative","4","positive","terrible",0
"anon-2","informative","1","negative","terrible",1
"anon-2","informative","3","positive","bad",0.25
"anon-2","informative","5","positive","okay",0
"anon-2","informative","5","positive","good",1
"anon-20","social","2","negative","good",0.15
"anon-20","social","1","positive","terrible",0.025
"anon-20","social","1","negative","okay",0.075
"anon-20","social","2","positive","terrible",0.05
"anon-20","social","4","positive","amazing",0.625
"anon-20","social","2","positive","okay",0.725
"anon-20","social","2","positive","bad",0.3
"anon-20","social","3","negative","amazing",0.125
"anon-20","social","3","positive","okay",0.5
"anon-20","social","1","positive","bad",0.025
"anon-20","social","5","negative","good",0.025
"anon-20","social","4","positive","okay",0.025
"anon-20","social","4","negative","terrible",0.05
"anon-20","social","4","positive","good",0.775
"anon-20","social","5","negative","okay",0.05
"anon-20","social","3","negative","bad",0.1
"anon-20","social","1","negative","good",0.025
"anon-20","social","3","positive","good",0.675
"anon-20","social","5","positive","amazing",0.75
"anon-20","social","2","negative","amazing",0.2
"anon-20","social","5","positive","terrible",0.025
"anon-20","social","1","positive","amazing",0.925
"anon-20","social","3","negative","terrible",0.1
"anon-20","social","4","negative","bad",0.05
"anon-20","social","5","negative","bad",0.05
"anon-21","social","3","negative","amazing",0.3
"anon-21","social","1","negative","okay",0.15
"anon-21","social","2","positive","okay",0.525
"anon-21","social","1","positive","bad",0.2
"anon-21","social","4","positive","amazing",0.8
"anon-21","social","5","negative","good",0.175
"anon-21","social","4","positive","okay",0.625
"anon-21","social","5","positive","terrible",0.175
"anon-21","social","4","negative","terrible",0.625
"anon-21","social","1","positive","terrible",0.225
"anon-21","social","5","positive","amazing",0.7
"anon-21","social","5","negative","bad",0.5
"anon-21","social","2","positive","terrible",0.25
"anon-21","social","4","negative","bad",0.275
"anon-21","social","1","positive","amazing",1
"anon-21","social","3","negative","bad",0.55
"anon-21","social","2","negative","amazing",0.725
"anon-21","social","3","positive","okay",0.725
"anon-21","social","1","negative","good",0.275
"anon-21","social","3","negative","terrible",0.7
"anon-21","social","3","positive","good",0.7
"anon-21","social","4","positive","good",0.775
"anon-21","social","5","negative","okay",0.325
"anon-21","social","2","positive","bad",0.65
"anon-21","social","2","negative","good",0.625
"anon-22","social","3","positive","okay",0.275
"anon-22","social","5","negative","bad",0.225
"anon-22","social","4","positive","good",0.775
"anon-22","social","5","positive","amazing",0.6
"anon-22","social","1","negative","good",0.15
"anon-22","social","1","positive","bad",0.2
"anon-22","social","4","positive","okay",0.475
"anon-22","social","5","positive","terrible",0.25
"anon-22","social","3","negative","terrible",0.575
"anon-22","social","1","positive","amazing",0.225
"anon-22","social","3","negative","bad",0.6
"anon-22","social","2","positive","terrible",0.25
"anon-22","social","5","negative","okay",0.475
"anon-22","social","2","positive","okay",0.3
"anon-22","social","2","negative","amazing",0.35
"anon-22","social","2","positive","bad",0.275
"anon-22","social","5","negative","good",0.3
"anon-22","social","3","negative","amazing",0.25
"anon-22","social","4","negative","bad",0.7
"anon-22","social","1","positive","terrible",0.125
"anon-22","social","4","positive","amazing",0.55
"anon-22","social","2","negative","good",0.275
"anon-22","social","1","negative","okay",0.175
"anon-22","social","3","positive","good",0.6
"anon-22","social","4","negative","terrible",0.65
"anon-23","social","2","negative","good",0.125
"anon-23","social","5","positive","amazing",0.775
"anon-23","social","2","positive","bad",0.175
"anon-23","social","3","positive","good",0.8
"anon-23","social","3","negative","bad",0.925
"anon-23","social","2","positive","okay",0.375
"anon-23","social","5","negative","good",0.05
"anon-23","social","4","positive","okay",0.575
"anon-23","social","4","negative","bad",0.8
"anon-23","social","5","positive","terrible",0.025
"anon-23","social","5","negative","bad",0.7
"anon-23","social","1","positive","terrible",0.025
"anon-23","social","4","positive","amazing",0.875
"anon-23","social","3","negative","amazing",0.1
"anon-23","social","3","positive","okay",0.275
"anon-23","social","2","negative","amazing",0.1
"anon-23","social","1","positive","amazing",0.925
"anon-23","social","4","positive","good",0.925
"anon-23","social","2","positive","terrible",0.075
"anon-23","social","5","negative","okay",0.1
"anon-23","social","3","negative","terrible",0.775
"anon-23","social","4","negative","terrible",0.625
"anon-23","social","1","positive","bad",0.075
"anon-23","social","1","negative","okay",0.175
"anon-23","social","1","negative","good",0.125
"anon-24","informative","3","negative","bad",0.675
"anon-24","informative","4","positive","good",0.775
"anon-24","informative","5","negative","bad",0.3
"anon-24","informative","4","negative","bad",0.625
"anon-24","informative","1","positive","amazing",0.025
"anon-24","informative","3","negative","amazing",0.65
"anon-24","informative","2","positive","okay",0.45
"anon-24","informative","3","positive","okay",0.6
"anon-24","informative","2","negative","amazing",0.625
"anon-24","informative","1","negative","okay",0.875
"anon-24","informative","4","positive","okay",0.7
"anon-24","informative","1","negative","good",1
"anon-24","informative","4","positive","amazing",0.625
"anon-24","informative","5","positive","terrible",0
"anon-24","informative","5","negative","okay",0.025
"anon-24","informative","5","positive","amazing",1
"anon-24","informative","4","negative","terrible",0.375
"anon-24","informative","5","negative","good",0
"anon-24","informative","2","positive","terrible",0.725
"anon-24","informative","3","positive","good",0.65
"anon-24","informative","3","negative","terrible",0.775
"anon-24","informative","1","positive","bad",0.975
"anon-24","informative","1","positive","terrible",0.95
"anon-24","informative","2","positive","bad",0.825
"anon-24","informative","2","negative","good",0.775
"anon-25","informative","4","negative","okay",0.05
"anon-25","informative","1","negative","amazing",0.7
"anon-25","informative","4","negative","amazing",0.55
"anon-25","informative","5","positive","good",0.525
"anon-25","informative","5","positive","okay",0.175
"anon-25","informative","5","positive","bad",0.05
"anon-25","informative","3","positive","bad",0.55
"anon-25","informative","2","negative","bad",0.5
"anon-25","informative","3","positive","terrible",0.075
"anon-25","informative","5","negative","amazing",0.075
"anon-25","informative","1","positive","good",0.05
"anon-25","informative","4","positive","bad",0.05
"anon-25","informative","4","positive","terrible",0.05
"anon-25","informative","3","positive","amazing",0.25
"anon-25","informative","5","negative","terrible",0.625
"anon-25","informative","1","positive","okay",0.15
"anon-25","informative","3","negative","good",0.525
"anon-25","informative","2","negative","terrible",0.7
"anon-25","informative","1","negative","terrible",0.35
"anon-25","informative","2","positive","good",0.35
"anon-25","informative","4","negative","good",0.175
"anon-25","informative","3","negative","okay",0.375
"anon-25","informative","2","negative","okay",0.675
"anon-25","informative","2","positive","amazing",0.15
"anon-25","informative","1","negative","bad",0.1
"anon-26","informative","3","negative","terrible",0.7
"anon-26","informative","2","positive","terrible",0.825
"anon-26","informative","1","positive","bad",0.825
"anon-26","informative","4","negative","bad",0.35
"anon-26","informative","3","positive","okay",0.625
"anon-26","informative","1","positive","amazing",0.7
"anon-26","informative","4","negative","terrible",0.525
"anon-26","informative","2","positive","okay",0.725
"anon-26","informative","5","negative","okay",0.75
"anon-26","informative","1","negative","okay",0.9
"anon-26","informative","3","negative","bad",0.45
"anon-26","informative","4","positive","good",0.75
"anon-26","informative","4","positive","amazing",0.575
"anon-26","informative","5","negative","good",0.9
"anon-26","informative","5","positive","amazing",0.725
"anon-26","informative","5","positive","terrible",0.4
"anon-26","informative","2","negative","good",0.65
"anon-26","informative","4","positive","okay",0.3
"anon-26","informative","3","positive","good",0.675
"anon-26","informative","2","positive","bad",0.8
"anon-26","informative","2","negative","amazing",0.725
"anon-26","informative","1","positive","terrible",0.55
"anon-26","informative","1","negative","good",0.75
"anon-26","informative","3","negative","amazing",0.425
"anon-26","informative","5","negative","bad",0.4
"anon-27","social","3","negative","bad",0.4
"anon-27","social","5","negative","good",0
"anon-27","social","4","positive","amazing",1
"anon-27","social","4","positive","okay",0.075
"anon-27","social","3","positive","okay",0.5
"anon-27","social","3","negative","amazing",0.325
"anon-27","social","5","positive","amazing",1
"anon-27","social","1","negative","good",0
"anon-27","social","3","positive","good",0.875
"anon-27","social","2","positive","bad",0
"anon-27","social","4","negative","terrible",0
"anon-27","social","4","positive","good",1
"anon-27","social","2","negative","good",0
"anon-27","social","1","positive","amazing",1
"anon-27","social","5","positive","terrible",0
"anon-27","social","2","negative","amazing",0.2
"anon-27","social","1","positive","bad",0
"anon-27","social","4","negative","bad",0.275
"anon-27","social","3","negative","terrible",0.575
"anon-27","social","5","negative","bad",0.15
"anon-27","social","5","negative","okay",0.125
"anon-27","social","2","positive","okay",0.75
"anon-27","social","2","positive","terrible",0
"anon-27","social","1","positive","terrible",0
"anon-27","social","1","negative","okay",0.15
"anon-28","informative","3","positive","good",0.375
"anon-28","informative","5","positive","terrible",0.75
"anon-28","informative","1","positive","bad",0.5
"anon-28","informative","2","negative","amazing",0.6
"anon-28","informative","4","positive","amazing",0.8
"anon-28","informative","5","negative","good",0.8
"anon-28","informative","5","negative","bad",0.775
"anon-28","informative","3","positive","okay",0.425
"anon-28","informative","4","positive","okay",0.725
"anon-28","informative","5","positive","amazing",0.975
"anon-28","informative","1","positive","terrible",0.825
"anon-28","informative","3","negative","bad",0.425
"anon-28","informative","4","negative","terrible",0.675
"anon-28","informative","3","negative","terrible",0.6
"anon-28","informative","4","negative","bad",0.575
"anon-28","informative","1","negative","good",0.125
"anon-28","informative","2","negative","good",0.25
"anon-28","informative","2","positive","terrible",0.3
"anon-28","informative","5","negative","okay",0.7
"anon-28","informative","4","positive","good",0.65
"anon-28","informative","2","positive","bad",0.325
"anon-28","informative","1","negative","okay",0.275
"anon-28","informative","1","positive","amazing",0.075
"anon-28","informative","2","positive","okay",0.125
"anon-28","informative","3","negative","amazing",0.375
"anon-29","social","4","positive","okay",0.125
"anon-29","social","3","negative","bad",0.65
"anon-29","social","1","negative","okay",0.15
"anon-29","social","3","negative","amazing",0.15
"anon-29","social","1","positive","amazing",0.85
"anon-29","social","5","negative","bad",0.1
"anon-29","social","4","negative","terrible",0.125
"anon-29","social","5","negative","good",0.125
"anon-29","social","4","positive","good",0.65
"anon-29","social","1","negative","good",0.075
"anon-29","social","5","positive","amazing",0.9
"anon-29","social","5","negative","okay",0.1
"anon-29","social","3","negative","terrible",0.575
"anon-29","social","2","positive","bad",0.125
"anon-29","social","4","negative","bad",0.2
"anon-29","social","2","negative","amazing",0.25
"anon-29","social","3","positive","good",0.75
"anon-29","social","1","positive","terrible",0.05
"anon-29","social","3","positive","okay",0.225
"anon-29","social","5","positive","terrible",0.05
"anon-29","social","1","positive","bad",0.05
"anon-29","social","4","positive","amazing",0.85
"anon-29","social","2","positive","okay",0.75
"anon-29","social","2","negative","good",0.075
"anon-29","social","2","positive","terrible",0.05
"anon-3","informative","3","negative","good",0
"anon-3","informative","1","negative","terrible",0
"anon-3","informative","1","negative","amazing",0.275
"anon-3","informative","5","positive","okay",0
"anon-3","informative","2","negative","bad",0
"anon-3","informative","1","negative","bad",0
"anon-3","informative","3","positive","terrible",0
"anon-3","informative","4","positive","bad",0
"anon-3","informative","4","negative","amazing",0.125
"anon-3","informative","3","negative","okay",0
"anon-3","informative","2","positive","amazing",0
"anon-3","informative","4","positive","terrible",0
"anon-3","informative","2","negative","terrible",0
"anon-3","informative","5","positive","bad",0
"anon-3","informative","5","negative","amazing",0
"anon-3","informative","1","positive","okay",0
"anon-3","informative","4","negative","good",0
"anon-3","informative","5","negative","terrible",0
"anon-3","informative","1","positive","good",0
"anon-3","informative","5","positive","good",0.675
"anon-3","informative","2","positive","good",0.075
"anon-3","informative","4","negative","okay",0
"anon-3","informative","3","positive","amazing",0
"anon-3","informative","2","negative","okay",1
"anon-3","informative","3","positive","bad",0
"anon-30","informative","3","negative","amazing",0.85
"anon-30","informative","1","negative","good",1
"anon-30","informative","4","positive","amazing",0.825
"anon-30","informative","1","positive","terrible",0.625
"anon-30","informative","2","positive","okay",0.6
"anon-30","informative","5","negative","okay",0
"anon-30","informative","3","positive","okay",0.6
"anon-30","informative","1","negative","okay",0.825
"anon-30","informative","3","negative","bad",0.35
"anon-30","informative","4","positive","okay",0.3
"anon-30","informative","2","negative","amazing",0.575
"anon-30","informative","3","negative","terrible",0.575
"anon-30","informative","5","negative","bad",0.025
"anon-30","informative","4","positive","good",0.625
"anon-30","informative","5","positive","terrible",0
"anon-30","informative","2","positive","terrible",0.4
"anon-30","informative","4","negative","bad",0.2
"anon-30","informative","5","positive","amazing",1
"anon-30","informative","1","positive","amazing",0
"anon-30","informative","1","positive","bad",0.8
"anon-30","informative","5","negative","good",0
"anon-30","informative","3","positive","good",0.375
"anon-30","informative","2","negative","good",0.9
"anon-30","informative","2","positive","bad",0.4
"anon-30","informative","4","negative","terrible",0.15
"anon-31","informative","4","negative","good",0.675
"anon-31","informative","1","positive","good",0.1
"anon-31","informative","4","negative","okay",0.625
"anon-31","informative","2","positive","amazing",0.075
"anon-31","informative","2","negative","bad",0.3
"anon-31","informative","3","positive","amazing",0.275
"anon-31","informative","1","positive","okay",0.775
"anon-31","informative","4","positive","bad",1
"anon-31","informative","4","positive","terrible",1
"anon-31","informative","1","negative","amazing",0.25
"anon-31","informative","5","negative","amazing",0.3
"anon-31","informative","3","negative","okay",0.375
"anon-31","informative","3","positive","terrible",0.525
"anon-31","informative","5","positive","bad",0
"anon-31","informative","5","positive","okay",0.275
"anon-31","informative","1","negative","terrible",0.075
"anon-31","informative","1","negative","bad",0.2
"anon-31","informative","2","negative","terrible",0.225
"anon-31","informative","5","negative","terrible",0.15
"anon-31","informative","3","negative","good",0.15
"anon-31","informative","5","positive","good",1
"anon-31","informative","2","negative","okay",0.425
"anon-31","informative","4","negative","amazing",0.4
"anon-31","informative","2","positive","good",0.4
"anon-31","informative","3","positive","bad",0.75
"anon-32","informative","5","positive","terrible",0
"anon-32","informative","4","positive","good",0.9
"anon-32","informative","1","positive","terrible",0.85
"anon-32","informative","2","positive","okay",0.85
"anon-32","informative","5","negative","bad",0.225
"anon-32","informative","4","positive","okay",0.325
"anon-32","informative","2","positive","terrible",0.575
"anon-32","informative","1","positive","amazing",0
"anon-32","informative","3","positive","okay",0.525
"anon-32","informative","3","negative","amazing",0.275
"anon-32","informative","4","positive","amazing",0.8
"anon-32","informative","5","negative","good",0
"anon-32","informative","1","negative","okay",0.875
"anon-32","informative","2","positive","bad",0.775
"anon-32","informative","3","negative","bad",0.875
"anon-32","informative","5","negative","okay",0.125
"anon-32","informative","2","negative","good",0.775
"anon-32","informative","2","negative","amazing",0.65
"anon-32","informative","3","negative","terrible",0.725
"anon-32","informative","1","positive","bad",1
"anon-32","informative","5","positive","amazing",1
"anon-32","informative","4","negative","bad",0.525
"anon-32","informative","3","positive","good",0.15
"anon-32","informative","4","negative","terrible",0.125
"anon-32","informative","1","negative","good",0.9
"anon-33","informative","1","positive","amazing",0
"anon-33","informative","3","negative","terrible",0.275
"anon-33","informative","5","negative","okay",0.475
"anon-33","informative","5","negative","good",0
"anon-33","informative","4","negative","bad",0.75
"anon-33","informative","4","positive","okay",0.375
"anon-33","informative","3","negative","bad",0.7
"anon-33","informative","1","negative","okay",1
"anon-33","informative","5","positive","terrible",0
